onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"51-2092.00",2017,.58942389,.018093565,.94558758,.74030006,.03575737,.020079523,.080728903,.032729276,.59022421,.018093565,.94999999,.75141674,.11752968,.48923963,.050000001,.50099999,.052153539,.054240957
"51-2093.00",2017,.029342473,.32761526,.93794519,.82627857,.062549487,.062276721,.080728903,.52186322,.028444389,.32761526,.94270486,.83663619,.44468835,.90736997,.050000001,.98946571,.052153539,.054240957
"51-3011.00",2017,.62762398,.62200123,.01785055,.52335149,.071593389,.045236919,.75246763,.0017792167,.62873948,.62200123,.015782434,.53087544,.55474991,.83400404,.98559207,.020850725,.031845231,.032927249
"51-3021.00",2017,.73687166,.024604673,.74565923,.73871005,.051834743,.027793562,.080728903,.0035478866,.73869419,.024604673,.75198108,.74982566,.30349523,.64916486,.050000001,.050000001,.0477718,.049656551
"51-3022.00",2017,.6105212,.071786813,.74565923,.62116432,.053757258,.025464239,.080728903,.050000001,.61149859,.071786813,.75198108,.63103151,.32887268,.60768139,.050000001,.64053702,.0477718,.049656551
"51-3023.00",2017,.80391884,.13851768,.091745354,.65242028,.036508206,.021543045,.62556189,.0035478866,.80594563,.13851768,.08594773,.66281867,.12453261,.52473158,.95322692,.050000001,.0477718,.049656551
"51-3091.00",2017,.67095387,.0066545168,.8722046,.89913291,.021594763,.0047013084,.080728903,.050000001,.67239136,.0066545168,.87874639,.9072324,.026578112,.050000001,.050000001,.64053702,.042082474,.043674305
"51-3092.00",2017,.50099999,.17627664,.15623839,.79600978,.049767565,.027793562,.6740343,.032729276,.50099999,.17627664,.14941593,.80683327,.27654788,.64916486,.96911067,.50099999,.042082474,.043674305
"51-3093.00",2017,.49165654,.043588657,.80652809,.78232777,.057369832,.027793562,.080728903,.032729276,.49158022,.043588657,.81339443,.79328686,.37684238,.64916486,.050000001,.50099999,.042082474,.043674305
"51-4011.00",2017,.44417608,.06907966,.67650503,.79294068,.11196738,.0047013084,.080728903,.032729276,.44366968,.06907966,.68152982,.8037985,.84831482,.050000001,.050000001,.50099999,.16617434,.17361824
"51-4012.00",2017,.6105212,.29337686,.042321231,.73871005,.10274206,.027793562,.91828519,.050000001,.61149859,.29337686,.038542137,.74982566,.80647677,.64916486,.998963,.64053702,.16617434,.17361824
"51-4021.00",2017,.77478689,.005521527,.84165621,.8817454,.051792081,.0047013084,.080728903,.0035478866,.77675307,.005521527,.8484903,.89055371,.30293491,.050000001,.050000001,.050000001,.077169716,.080581449
"51-4022.00",2017,.6105212,.042300664,.74565923,.73871005,.088596627,.003482247,.080728903,.050000001,.61149859,.042300664,.75198108,.74982566,.71649045,.028186006,.050000001,.64053702,.077169716,.080581449
"51-4023.00",2017,.47533259,.061030746,.76697582,.75364989,.092255779,.003482247,.080728903,.032729276,.47510728,.061030746,.77356315,.7647565,.74326444,.028186006,.050000001,.50099999,.077169716,.080581449
"51-4031.00",2017,.67095387,.0066545168,.8722046,.89913291,.04673053,.0047013084,.080728903,.050000001,.67239136,.0066545168,.87874639,.9072324,.23799649,.050000001,.050000001,.64053702,.080402501,.083864257
"51-4032.00",2017,.60204113,.050000001,.7234118,.72341186,.10725129,.003482247,.080728903,.050000001,.60294813,.050000001,.72938293,.73449212,.82833093,.028186006,.050000001,.64053702,.080402501,.083864257
"51-4033.00",2017,.65355343,.030666035,.64215082,.80922198,.067598805,.003482247,.24683219,.050000001,.65486693,.030666035,.64633858,.81987137,.50785673,.028186006,.43035033,.64053702,.080402501,.083864257
"51-4034.00",2017,.72914678,.029289413,.7234118,.72341186,.087880932,.003482247,.080728903,.0035478866,.7309323,.029289413,.72938293,.73449212,.71093941,.028186006,.050000001,.050000001,.080402501,.083864257
"51-4035.00",2017,.61905056,.10253511,.28484368,.75364989,.10189012,.003482247,.31829929,.050000001,.62009746,.10253511,.27902001,.7647565,.80201715,.028186006,.60722423,.64053702,.080402501,.083864257
"51-4041.00",2017,.46735534,.11926748,.74565923,.62116432,.11306261,.0028670393,.080728903,.032729276,.46705756,.11926748,.75198108,.63103151,.85257506,.01934246,.050000001,.50099999,.13847105,.1450889
"51-4051.00",2017,.54343867,.081313953,.74274498,.65242028,.062549487,.020079523,.083338425,.032729276,.54383403,.081313953,.74902493,.66281867,.44468835,.48923963,.053437077,.50099999,.1057122,.11063998
"51-4052.00",2017,.61798185,.018351359,.89089447,.78814441,.035498749,.020079523,.083338425,.032729276,.61902016,.018351359,.8971113,.79905128,.11516635,.48923963,.053437077,.50099999,.1057122,.11063998
"51-4061.00",2017,.66224653,.025583424,.66842204,.82194459,.059595857,.003482247,.1006615,.050000001,.66362298,.025583424,.67325956,.83238381,.40624928,.028186006,.079168543,.64053702,.30338472,.31571496
