onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"25-1123.00",2018,.037455071,.99999082,.03594064,.00053383136,.83003151,.97825944,.98716551,7.0387262e-13,.032309528,.99999118,.036469564,.00040382822,.86147672,.99585825,.97134566,9.4326076e-16,.61900371,.64890993
"25-1124.00",2018,.033163056,.99994487,.045222316,.0030191469,.58644843,.99936014,.98233277,7.0387262e-13,.028500002,.99994689,.045422871,.0024244993,.32750639,.99986905,.96081376,9.4326076e-16,.61900371,.64890993
"25-1125.00",2018,.036033448,.99998593,.026186429,.00099415623,.74550998,.99777961,.98716551,7.0387262e-13,.031045927,.99998647,.026949788,.0007682828,.68458849,.99955904,.97134566,9.4326076e-16,.61900371,.64890993
"25-1126.00",2018,.035587199,.99997401,.023635443,.001924196,.77400929,.99640059,.92560399,7.0387262e-13,.03064964,.99997503,.024436194,.001521262,.74967098,.99929297,.8461684,9.4326076e-16,.61900371,.64890993
"25-1191.00",2018,.02961861,.99922246,.050000001,.040294975,.47182441,.027612986,.9790796,7.0387262e-13,.0253668,.99924487,.050000001,.035553284,.15823911,.15433767,.95379764,9.4326076e-16,.33305013,.35609445
"25-1192.00",2018,.030191496,.9999575,.060191609,.0021973266,.54774547,.99936014,.9790796,7.0387262e-13,.025872389,.99995905,.059705362,.0017451954,.26030216,.99986905,.95379764,9.4326076e-16,.33305013,.35609445
"25-1193.00",2018,.50846177,.98348814,.022779346,.044453662,.6565581,.070736207,.9790796,.55043471,.49119744,.98381561,.023590004,.039374921,.47396624,.32308114,.95379764,.99999559,.33305013,.35609445
"25-1194.00",2018,.48343349,.74383581,.01785055,.52335149,.67952782,.97297198,.9790796,.55043471,.46557447,.74604237,.018688677,.5187037,.52727038,.99485701,.95379764,.99999559,.33305013,.35609445
"25-2011.00",2018,.65355343,.91268891,.16979598,.044453662,.58204198,.75974786,.68623745,.55043471,.64130348,.91390222,.16155024,.039374921,.31932998,.94753504,.49235019,.99999559,.15655462,.16916722
"25-2012.00",2018,.68838543,.98435861,.031981152,.017725533,.73891932,.0032763323,.9790796,.00074384094,.67764229,.98467141,.032620944,.015159748,.66907036,.021812109,.95379764,.50099999,.15655462,.16916722
"25-2021.00",2018,.64488119,.92342973,.15623839,.042310875,.45597863,.66495538,.75718099,.00074384094,.63227022,.92453498,.14908676,.037403774,.14152957,.91979373,.58017361,.50099999,.34043354,.36689964
"25-2022.00",2018,.055578478,.99992794,.0548345,.0021268004,.37984127,.99909586,.9790796,1.9394543e-07,.048554793,.9999305,.054613035,.0016872741,.079528272,.99981654,.95379764,1.0776457e-06,.34043354,.36689964
"25-2023.00",2018,.56870657,.82125586,.010457672,.40298787,.34362507,.45572197,.9790796,.00074384094,.55323023,.82314777,.011213762,.39453834,.058851447,.83175766,.95379764,.50099999,.34043354,.36689964
"25-2031.00",2018,.029072899,.99938285,.041691363,.036322445,.25507021,.56806576,.9790796,7.0387262e-13,.024885504,.99940103,.04202709,.0319185,.025415987,.88476664,.95379764,9.4326076e-16,.36850378,.39653143
"25-2032.00",2018,.54443479,.7056247,.0084325569,.60944217,.38579535,.13982065,.9790796,.00074384094,.52818102,.70791638,.0091295633,.60786611,.083412156,.50099999,.95379764,.50099999,.36850378,.39653143
"25-2052.00",2018,.73172575,.96896392,.016232572,.040294975,.57126474,.99999309,.98233277,.00074384094,.7229563,.96951514,.017067179,.035553284,.29989636,.99999839,.96081376,.50099999,.35476655,.38204837
"25-2053.00",2018,.18027568,.99985045,.019342497,.0021973266,.46165499,.99909586,.98233277,.0051805717,.16476178,.99985546,.020178029,.0017451954,.14734808,.99981654,.96081376,.96227187,.35476655,.38204837
"25-2054.00",2018,.50099999,.99178618,.02098011,.024611881,.40476698,.95689553,.9790796,.000091144968,.48252425,.99196672,.021806898,.02130821,.096795008,.991786,.95379764,.029411318,.35476655,.38204837
"25-2059.01",2018,.99043781,.0010216275,.99617255,.17313504,1.1029881e-07,5.6139497e-06,.42911908,.00012697624,.99089056,.001010047,.99444687,.16262831,1.1062230e-15,.000044673474,.25034091,.050000001,.35476655,.38204837
"25-3011.00",2018,.034323718,.99984723,.06133081,.0066351173,.6671347,.99976331,.98233277,7.0387262e-13,.029528571,.9998523,.060785837,.0054773344,.4982802,.99995035,.96081376,9.4326076e-16,.23242579,.25296527
"25-3021.00",2018,.50846177,.76617593,.022779346,.43847916,.54646617,.96087176,.9790796,.55043471,.49119744,.76831228,.023590004,.43104142,.25825974,.99255002,.95379764,.99999559,.099512607,.10852683
"25-3099.02",2018,.0083848387,.98872381,.99906999,.010885007,3.6599243e-07,3.2044851e-17,.65691465,1,.0069286856,.9889608,.99856222,.0091456417,1.3086326e-14,4.8780162e-16,.4592444,1,.11363742,.12316424
"25-4011.00",2018,.98107529,.068562329,.98965645,.010428336,1.5536490e-07,7.4119150e-10,.69279987,.31848523,.98164642,.068624392,.9856717,.008748455,2.2403219e-15,7.3776625e-09,.50099999,.99997807,.27183524,.29453248
"25-4012.00",2018,.50099999,.92342973,.059260011,.11928441,.65314853,.47263193,.93569136,.55043471,.48252425,.92453498,.058821175,.11013744,.46622583,.84083146,.86542952,.99999559,.27183524,.29453248
"25-4013.00",2018,.42935628,.60864747,.028307116,.6593622,.66535902,.080837153,.93569136,.55043471,.41054848,.61098051,.029031092,.65952945,.49416816,.35460517,.86542952,.99999559,.27183524,.29453248
"25-4021.00",2018,.54343867,.97194397,.031981152,.054489095,.6965518,.070736207,.9790796,.000091144968,.52715462,.97245187,.032620944,.048659284,.56772965,.32308114,.95379764,.029411318,.32661837,.35361791
"25-4031.00",2018,.67966926,.92401773,.029335337,.088502862,.72399485,.0023384143,.93866163,.55043471,.66854125,.9251169,.03003771,.080650799,.63354295,.015782334,.87118852,.99999559,.065231733,.070792131
"25-9011.00",2018,.45177633,.7496419,.013075978,.58595169,.47272044,.061373003,.94623053,.55043471,.43330351,.75183165,.013881985,.58353448,.15922804,.2915532,.8860485,.99999559,.26388761,.28711185
"25-9021.00",2018,.93339294,.000015291635,.99998474,.82194459,1.5536490e-07,.054426584,.0071007246,.31848523,.93325049,.000014935253,.99997175,.82635528,2.2403219e-15,.26655948,.0031924758,.99997807,.25978124,.28277913
"25-9031.00",2018,.05887441,.99979264,.080017693,.0045373649,.53328353,.99979657,.9790796,1.9394543e-07,.051533371,.99979937,.078407228,.003695864,.23787744,.99995714,.95379764,1.0776457e-06,.4489232,.48075262
"25-9031.01",2018,.0083848387,.97497064,.9998641,.0088377828,2.8281511e-07,3.2044851e-17,.69279987,1,.0069286856,.97543329,.99977124,.0073703215,7.6944592e-15,4.8780162e-16,.50099999,1,.4489232,.48075262
"25-9041.00",2018,.70579207,.9631049,.03812632,.034520142,.38822338,.46760261,.9790796,.00074384094,.69583076,.96373826,.03858602,.030274881,.085038207,.83817941,.95379764,.50099999,.030202484,.032220341
"27-1011.00",2018,.015965605,.99901342,.060191609,.079634324,.68093002,4.7141207e-06,.9790796,.99903715,.013429922,.9990412,.059705362,.072242118,.53057891,.000037677783,.95379764,1,.54866564,.57294035
"27-1012.00",2018,.98047292,.000149564,.87685287,.94558752,2.3084826e-07,9.0497551e-06,.69279987,.00012697624,.98104674,.00014704649,.85160547,.94935459,5.0646484e-15,.000071156195,.50099999,.050000001,.54866564,.57294035
"27-1013.00",2018,.73172575,.58495671,.050000001,.31861275,.694695,.84383124,.9790796,.00074384094,.7229563,.58726609,.050000001,.3083297,.56329131,.96820128,.95379764,.50099999,.54866564,.57294035
"27-1014.00",2018,.015887637,.98052144,.0548345,.62896097,.81592304,.96087176,.9790796,.99903715,.013362488,.98089743,.054613035,.62807649,.83590132,.99255002,.95379764,1,.54866564,.57294035
"27-1021.00",2018,.015965605,.99947387,.060191609,.044823773,.83592117,.68538302,.9790796,.99903715,.013429922,.99948961,.059705362,.039715812,.87155932,.92624426,.95379764,1,.18170741,.19579755
"27-1022.00",2018,.059760641,.99915057,.027867753,.030550919,.87625998,.0029357332,.9848116,1.9394543e-07,.052335422,.99917483,.028600471,.026668074,.9304167,.019635467,.9661994,1.0776457e-06,.18170741,.19579755
"27-1023.00",2018,.72311485,.9133814,.045634884,.067437485,.65947986,.12749897,.47175196,.00074384094,.71394664,.91458797,.045818895,.060751647,.48063853,.47407138,.28398934,.50099999,.18170741,.19579755
"27-1024.00",2018,.032093812,.82380617,.99853158,.062743582,8.9240416e-08,2.7013899e-10,.69279987,4.7750000e-28,.027553547,.82568407,.99777544,.056354564,7.1501984e-16,2.7577669e-09,.50099999,0,.18170741,.19579755
